"","Gene_name","Method","Sensitivity","lower.Sensitivity","upper.Sensitivity","Specificity","lower.Specificity","upper.Specificity","Mean.DOR","Median.DOR","lower.Mean.DOR","upper.Mean.DOR","Mean.Pos.LR","Median.Pos.LR","lower.Pos.LR","upper.Pos.LR","Mean.Neg.LR","Median.Neg.LR","lower.Neg.LR","upper.Neg.LR","AUC","Method.1","DOR","lower.DOR","upper.DOR","lnDOR","lower.lnDOR","upper.lnDOR","tau.2","lower.tau.2","upper.tau.2","tau","lower.tau","upper.tau","I.2","Q","p.value","df","k.study"
"LMAN2","LMAN2","Bivariate model, Reitsma 2005",0.74,0.537,0.874,0.638,0.447,0.793,5.38,5,2.35,10.6,2.08,2.01,1.42,3.16,0.423,0.414,0.229,0.665,0.732,"Univariate model, Glas 2003",5.776,2.018,16.533,1.754,0.702,2.805,0.383,0,40.717,0.619,0,6.381,17.858,3.652,0.302,3,4
"NME3","NME3","Bivariate model, Reitsma 2005",0.84,0.487,0.967,0.535,0.115,0.911,8.13,6.05,1.34,27.2,2.3,1.76,1.04,6.82,0.368,0.333,0.113,0.818,0.794,"Univariate model, Glas 2003",8.052,1.824,35.554,2.086,0.601,3.571,0,0,245.376,0,0,15.664,0,0.106,0.744,1,2
"IHH","IHH","Bivariate model, Reitsma 2005",0.897,0.781,0.955,0.673,0.515,0.799,20.9,17.8,5.89,53.9,2.82,2.72,1.8,4.46,0.168,0.156,0.066,0.342,0.849,"Univariate model, Glas 2003",25.151,4.173,151.61,3.225,1.429,5.021,1.191,0,220.292,1.091,0,14.842,20.853,2.527,0.283,2,3
"LTBP2","LTBP2","Bivariate model, Reitsma 2005",0.516,0.219,0.802,0.809,0.398,0.964,5.99,4.51,1.03,19.9,3.33,2.59,1.01,10,0.633,0.628,0.313,0.989,0.703,"Univariate model, Glas 2003",4.87,1.137,20.85,1.583,0.129,3.037,0,0,7.471,0,0,2.733,0,0.25,0.882,2,3
"CST6","CST6","Bivariate model, Reitsma 2005",0.799,0.652,0.894,0.529,0.193,0.841,6.13,4.47,0.938,21.3,1.99,1.68,0.986,4.84,0.447,0.391,0.186,1.05,0.79,"Univariate model, Glas 2003",6.162,1.085,35.006,1.818,0.081,3.556,1.411,0,42.78,1.188,0,6.541,1.168,3.035,0.386,3,4
"CCL14","CCL14","Bivariate model, Reitsma 2005",0.744,0.568,0.865,0.683,0.526,0.807,7.18,6.27,2.27,17.4,2.42,2.32,1.46,3.92,0.392,0.378,0.194,0.668,0.695,"Univariate model, Glas 2003",5.531,2.197,13.928,1.71,0.787,2.634,0,0,26.342,0,0,5.132,0,1.983,0.371,2,3
"MAN2A1","MAN2A1","Bivariate model, Reitsma 2005",0.669,0.286,0.911,0.793,0.573,0.917,13.7,7.75,0.969,62.3,3.6,3.12,0.98,9.01,0.462,0.425,0.11,1.01,0.812,"Univariate model, Glas 2003",9.907,1.794,54.709,2.293,0.584,4.002,1.67,0,82.665,1.292,0,9.092,20.684,3.782,0.286,3,4
"QPCT","QPCT","Bivariate model, Reitsma 2005",0.973,0.83,0.996,0.525,0.29,0.75,75.1,39.4,4.26,364,2.16,2.02,1.33,3.85,0.086,0.054,0.007,0.358,0.961,"Univariate model, Glas 2003",41.575,4.487,385.201,3.728,1.501,5.954,0,0,1174.18,0,0,34.266,0,0.448,0.504,1,2
"LGALSL","LGALSL","Bivariate model, Reitsma 2005",0.818,0.573,0.938,0.619,0.336,0.839,11.7,7.29,1.08,49.1,2.38,2.11,1.03,5.34,0.358,0.301,0.088,0.957,0.787,"Univariate model, Glas 2003",8.897,1.003,78.94,2.186,0.003,4.369,1.939,0,130.307,1.392,0,11.415,0,1.889,0.389,2,3
"CROCC","CROCC","Bivariate model, Reitsma 2005",0.727,0.538,0.859,0.803,0.534,0.936,14.7,10.9,2.4,49.7,4.35,3.64,1.48,11.4,0.365,0.348,0.174,0.654,0.836,"Univariate model, Glas 2003",21.514,1.104,419.232,3.069,0.099,6.038,2.7,0,5938.477,1.643,0,77.062,0,1,0.317,1,2
"DMKN","DMKN","Bivariate model, Reitsma 2005",0.603,0.333,0.822,0.793,0.63,0.896,7.61,5.83,1.4,24.3,3.11,2.86,1.24,6.4,0.52,0.505,0.221,0.898,0.796,"Univariate model, Glas 2003",3.964,1.215,12.936,1.377,0.194,2.56,0.126,0,115.398,0.356,0,10.742,3.665,2.076,0.354,2,3
"CSPG4","CSPG4","Bivariate model, Reitsma 2005",0.846,0.65,0.942,0.529,0.302,0.745,8.09,6.17,1.46,26.2,1.89,1.77,1.12,3.32,0.335,0.297,0.103,0.784,0.699,"Univariate model, Glas 2003",10.199,0.857,121.431,2.322,-0.155,4.799,1.739,0,3706.261,1.319,0,60.879,0,1,0.317,1,2
"SBSN","SBSN","Bivariate model, Reitsma 2005",0.897,0.699,0.971,0.54,0.255,0.801,12.7,10.3,2.85,36.9,2.11,1.92,1.24,4.09,0.222,0.198,0.067,0.511,0.83,"Univariate model, Glas 2003",13.708,3.581,52.472,2.618,1.276,3.96,0,0,16.419,0,0,4.052,0,0.511,0.775,2,3
"FAT4","FAT4","Bivariate model, Reitsma 2005",0.651,0.499,0.778,0.726,0.448,0.897,6.26,4.95,1.3,18.9,2.71,2.36,1.12,6.35,0.511,0.489,0.291,0.869,0.651,"Univariate model, Glas 2003",6.463,1.072,38.969,1.866,0.069,3.663,0.544,0,2430.777,0.738,0,49.303,0,1,0.317,1,2
"DCXR","DCXR","Bivariate model, Reitsma 2005",0.488,0.311,0.668,0.773,0.351,0.956,4.89,3.24,0.549,19.1,2.94,2.12,0.763,10,0.734,0.682,0.436,1.38,0.558,"Univariate model, Glas 2003",3.516,0.793,15.597,1.257,-0.233,2.747,0,0,39.237,0,0,6.264,0,1.123,0.57,2,3
"B3GNT8","B3GNT8","Bivariate model, Reitsma 2005",0.849,0.121,0.996,0.444,0.086,0.871,8.9,4.48,0.452,44.4,1.48,1.35,0.571,2.98,0.461,0.364,0.031,1.24,0.64,"Univariate model, Glas 2003",3.298,0.729,14.928,1.193,-0.317,2.703,0,0,2004.145,0,0,44.768,0,0.917,0.338,1,2
"SULF2","SULF2","Bivariate model, Reitsma 2005",0.757,0.569,0.881,0.615,0.343,0.83,6.46,4.99,1.22,20.4,2.16,1.94,1.07,4.49,0.436,0.403,0.182,0.888,0.662,"Univariate model, Glas 2003",5.126,1.247,21.081,1.634,0.22,3.048,0,0,1703.282,0,0,41.271,0,0.755,0.385,1,2
"ITLN1","ITLN1","Bivariate model, Reitsma 2005",0.584,0.437,0.718,0.655,0.505,0.78,2.94,2.68,1.13,6.31,1.75,1.69,1.07,2.77,0.648,0.637,0.415,0.944,0.595,"Univariate model, Glas 2003",3.377,1.356,8.406,1.217,0.305,2.129,0,0,21.235,0,0,4.608,0,0.944,0.624,2,3
"KCTD12","KCTD12","Bivariate model, Reitsma 2005",0.79,0.457,0.944,0.738,0.419,0.917,13.8,10.6,2.58,43.7,3.34,2.89,1.43,7.87,0.321,0.296,0.092,0.687,0.829,"Univariate model, Glas 2003",15.748,3.426,72.397,2.757,1.231,4.282,0,0,6.438,0,0,2.537,0,0.212,0.899,2,3
"SCGB3A1","SCGB3A1","Bivariate model, Reitsma 2005",0.831,0.322,0.981,0.752,0.296,0.956,125,14.8,0.26,857,5.24,3.27,0.519,21.9,0.425,0.231,0.021,1.98,0.855,"Univariate model, Glas 2003",14.743,0.26,836.029,2.691,-1.347,6.729,6.434,0,9435.401,2.537,0,97.136,0,1,0.317,1,2
"FUCA2","FUCA2","Bivariate model, Reitsma 2005",0.505,0.332,0.677,0.732,0.46,0.897,3.08,2.79,1.15,6.72,2.04,1.87,1.07,3.98,0.696,0.689,0.505,0.935,0.626,"Univariate model, Glas 2003",2.791,1.168,6.668,1.026,0.155,1.897,0.093,0,25.123,0.305,0,5.012,0.283,3.009,0.39,3,4
"C1orf56","C1orf56","Bivariate model, Reitsma 2005",0.545,0.411,0.673,0.758,0.497,0.908,4.63,3.75,1.05,13.4,2.57,2.24,1.02,6.06,0.629,0.607,0.409,0.978,0.625,"Univariate model, Glas 2003",3.846,1.115,13.27,1.347,0.109,2.586,0.502,0,48.043,0.708,0,6.931,0,1.781,0.41,2,3
"SPZ1","SPZ1","Bivariate model, Reitsma 2005",0.856,0.726,0.93,0.519,0.385,0.65,7.24,6.4,2.42,16.9,1.8,1.77,1.33,2.47,0.297,0.28,0.131,0.564,0.614,"Univariate model, Glas 2003",6.133,2.303,16.329,1.814,0.834,2.793,0,0,331.175,0,0,18.198,0,0.414,0.52,1,2
"C1QTNF3","C1QTNF3","Bivariate model, Reitsma 2005",0.865,0.368,0.986,0.49,0.096,0.897,8.15,6.14,1.41,26.8,1.98,1.62,1.05,5.04,0.351,0.305,0.072,0.859,0.763,"Univariate model, Glas 2003",6.915,1.566,30.528,1.934,0.449,3.419,0,0,9.719,0,0,3.118,0,0.006,0.939,1,2
"ASPN","ASPN","Bivariate model, Reitsma 2005",0.685,0.507,0.822,0.687,0.432,0.863,5.94,4.77,1.31,17.4,2.4,2.16,1.12,5.08,0.489,0.466,0.248,0.867,0.736,"Univariate model, Glas 2003",5.269,1.383,20.081,1.662,0.324,3,0,0,32.552,0,0,5.705,0,0.035,0.851,1,2
"FGFBP2","FGFBP2","Bivariate model, Reitsma 2005",0.82,0.516,0.951,0.66,0.439,0.827,14.4,8.8,1.26,61.4,2.55,2.36,1.11,5.07,0.33,0.278,0.068,0.888,0.744,"Univariate model, Glas 2003",12.001,1.121,128.525,2.485,0.114,4.856,2.503,0,134.631,1.582,0,11.603,0,1.655,0.437,2,3
"MMRN2","MMRN2","Bivariate model, Reitsma 2005",0.85,0.668,0.941,0.595,0.437,0.736,9.35,8.31,3.19,21.6,2.12,2.07,1.52,3.03,0.272,0.255,0.109,0.528,0.737,"Univariate model, Glas 2003",9.533,2.225,40.841,2.255,0.8,3.71,0.802,0,175.733,0.895,0,13.256,27.13,2.745,0.254,2,3
"SIAE","SIAE","Bivariate model, Reitsma 2005",0.716,0.194,0.964,0.76,0.487,0.914,15.5,7.99,0.84,76.2,3.08,2.72,0.885,7.34,0.435,0.384,0.054,1.04,0.784,"Univariate model, Glas 2003",7.679,1.176,50.155,2.038,0.162,3.915,0.817,0,1915.563,0.904,0,43.767,0,1,0.317,1,2
"RETN","RETN","Bivariate model, Reitsma 2005",0.796,0.106,0.992,0.484,0.09,0.899,6.86,3.67,0.412,32.8,1.54,1.36,0.545,3.48,0.529,0.454,0.046,1.32,0.652,"Univariate model, Glas 2003",3.738,0.595,23.497,1.319,-0.52,3.157,0,0,878.485,0,0,29.639,0,0.429,0.512,1,2
"PNPLA8","PNPLA8","Bivariate model, Reitsma 2005",0.447,0.312,0.591,0.881,0.626,0.971,8.41,6.03,1.22,29.9,4.91,3.75,1.13,15.6,0.651,0.637,0.458,0.932,0.642,"Univariate model, Glas 2003",6.776,1.344,34.17,1.913,0.295,3.531,0,0,602.822,0,0,24.552,0,0.316,0.574,1,3
"SPINK5","SPINK5","Bivariate model, Reitsma 2005",0.907,0.458,0.991,0.474,0.155,0.815,14.3,8.81,1.28,60.6,1.84,1.63,1.07,3.82,0.277,0.208,0.03,0.887,0.726,"Univariate model, Glas 2003",8.596,1.633,45.257,2.151,0.49,3.812,0,0,693.209,0,0,26.329,0,0.313,0.576,1,2
"PDLIM7","PDLIM7","Bivariate model, Reitsma 2005",0.792,0.397,0.956,0.683,0.205,0.947,14.9,8.14,0.94,70.5,3.43,2.36,0.982,12.4,0.395,0.336,0.08,1.04,0.808,"Univariate model, Glas 2003",12.943,1.254,133.576,2.561,0.226,4.895,0,0,46.236,0,0,6.8,0,0.017,0.897,1,2
"AHSP","AHSP","Bivariate model, Reitsma 2005",0.66,0.191,0.941,0.888,0.495,0.985,43.8,15.4,0.913,262,9.22,5.34,0.946,41.3,0.446,0.403,0.071,1.03,0.893,"Univariate model, Glas 2003",15.656,1.557,157.407,2.751,0.443,5.059,0,0,1860.122,0,0,43.129,0,0.648,0.421,1,2
"ADA2","ADA2","Bivariate model, Reitsma 2005",0.813,0.583,0.932,0.659,0.278,0.906,10.7,8.44,2.17,32.7,2.84,2.34,1.2,7.47,0.32,0.301,0.132,0.618,0.817,"Univariate model, Glas 2003",9.607,2.537,36.387,2.263,0.931,3.594,0,0,11,0,0,3.317,0,0.426,0.808,2,3
"GNG12","GNG12","Bivariate model, Reitsma 2005",0.867,0.694,0.949,0.49,0.24,0.745,8.46,6.24,1.34,28.7,1.82,1.68,1.08,3.39,0.323,0.279,0.095,0.81,0.843,"Univariate model, Glas 2003",8.731,1.169,65.187,2.167,0.156,4.177,0.635,0,3111.983,0.797,0,55.785,0,1,0.317,1,2
"EXTL2","EXTL2","Bivariate model, Reitsma 2005",0.637,0.127,0.955,0.948,0.777,0.99,92,31.8,1.83,554,15.8,10.7,1.63,60.5,0.424,0.39,0.049,0.938,0.949,"Univariate model, Glas 2003",31.518,2.961,335.519,3.451,1.085,5.816,1.429,0,212.183,1.196,0,14.567,5.91,2.126,0.345,2,3
"HPSE","HPSE","Bivariate model, Reitsma 2005",0.773,0.406,0.944,0.729,0.521,0.87,17.3,9.16,1,83.4,3.08,2.8,1,6.77,0.374,0.315,0.069,0.999,0.79,"Univariate model, Glas 2003",9.653,1.144,81.455,2.267,0.135,4.4,2.363,0,214.73,1.537,0,14.654,20.397,2.512,0.285,2,3
"ITM2B","ITM2B","Bivariate model, Reitsma 2005",0.938,0.788,0.984,0.537,0.255,0.798,23.4,17.7,4.09,76.6,2.21,2,1.27,4.4,0.142,0.12,0.034,0.379,0.89,"Univariate model, Glas 2003",26.017,5.472,123.691,3.259,1.7,4.818,0,0,0.599,0,0,0.774,0,0.068,0.967,2,3
"PLA2G7","PLA2G7","Bivariate model, Reitsma 2005",0.61,0.327,0.835,0.579,0.412,0.73,2.4,2.16,0.868,5.37,1.44,1.43,0.919,2.02,0.682,0.677,0.337,1.06,0.608,"Univariate model, Glas 2003",3.493,0.974,12.521,1.251,-0.026,2.527,0.823,0,25.472,0.907,0,5.047,0,2.776,0.427,3,4
"IGLV2-33","IGLV2-33","Bivariate model, Reitsma 2005",0.536,0.312,0.746,0.733,0.223,0.963,4.84,3.18,0.525,19.2,2.94,1.98,0.815,10.9,0.737,0.667,0.424,1.54,0.612,"Univariate model, Glas 2003",2.836,0.759,10.591,1.042,-0.275,2.36,0,0,1047.339,0,0,32.363,0,0.953,0.329,1,2
"HLA-DPB1","HLA-DPB1","Bivariate model, Reitsma 2005",0.472,0.123,0.851,0.802,0.224,0.983,5.09,3.62,0.718,18.2,3.26,2.25,0.885,11.7,0.718,0.713,0.337,1.2,0.668,"Univariate model, Glas 2003",3.383,0.759,15.084,1.219,-0.276,2.714,0,0,228.694,0,0,15.123,0,0.114,0.735,1,2
"IGHV1-58","IGHV1-58","Bivariate model, Reitsma 2005",0.467,0.326,0.615,0.817,0.68,0.904,4.42,3.93,1.51,10.2,2.72,2.54,1.31,5.16,0.66,0.656,0.465,0.878,0.76,"Univariate model, Glas 2003",6.953,1.251,38.632,1.939,0.224,3.654,1.215,0,179.783,1.102,0,13.408,22.822,2.591,0.274,2,3
"IGLV4-3","IGLV4-3","Bivariate model, Reitsma 2005",0.657,0.26,0.913,0.434,0.27,0.613,1.92,1.47,0.352,6.16,1.13,1.15,0.538,1.64,0.822,0.794,0.245,1.55,0.475,"Univariate model, Glas 2003",1.758,0.538,5.738,0.564,-0.619,1.747,0.247,0,825.783,0.497,0,28.736,0,1,0.317,1,2
"IGLV5-52","IGLV5-52","Bivariate model, Reitsma 2005",0.877,0.694,0.957,0.699,0.31,0.923,24.5,16.5,2.87,94.6,3.65,2.86,1.28,10.8,0.212,0.187,0.066,0.502,0.884,"Univariate model, Glas 2003",21.343,4.087,111.447,3.061,1.408,4.714,0,0,681.151,0,0,26.099,0,0.466,0.495,1,2
"IGLV5-39","IGLV5-39","Bivariate model, Reitsma 2005",0.701,0.434,0.877,0.602,0.47,0.722,4.48,3.55,0.931,13.5,1.78,1.75,0.963,2.81,0.529,0.499,0.193,1.03,0.624,"Univariate model, Glas 2003",3.064,0.939,9.991,1.12,-0.062,2.302,0.326,0,983.191,0.571,0,31.356,0,1,0.317,1,2
"FHAD1","FHAD1","Bivariate model, Reitsma 2005",0.667,0.447,0.832,0.764,0.514,0.909,8.51,6.48,1.54,27.5,3.18,2.78,1.24,7.47,0.464,0.445,0.216,0.824,0.787,"Univariate model, Glas 2003",6.391,1.454,28.092,1.855,0.374,3.335,0,0,11.242,0,0,3.353,0,0.01,0.92,1,3
"B4GAT1","B4GAT1","Bivariate model, Reitsma 2005",0.855,0.191,0.993,0.823,0.571,0.942,118,27.5,0.971,781,5.12,4.3,0.979,14,0.284,0.181,0.009,1.01,0.832,"Univariate model, Glas 2003",26.941,1.254,578.897,3.294,0.226,6.361,3.138,0,5334.531,1.771,0,73.038,0,1,0.317,1,2
"ITGB1","ITGB1","Bivariate model, Reitsma 2005",0.751,0.322,0.951,0.834,0.686,0.92,28.8,15.2,1.65,139,4.77,4.36,1.41,10.5,0.347,0.301,0.058,0.869,0.85,"Univariate model, Glas 2003",17.032,1.26,230.307,2.835,0.231,5.439,3.903,0,156.445,1.976,0,12.508,0,1.615,0.446,2,3
"UMOD","UMOD","Bivariate model, Reitsma 2005",0.735,0.55,0.862,0.704,0.501,0.849,7.92,6.59,2.01,21.7,2.63,2.45,1.37,4.94,0.399,0.382,0.191,0.703,0.756,"Univariate model, Glas 2003",8.143,2.159,30.715,2.097,0.77,3.425,0,0,55.184,0,0,7.429,0,1.998,0.368,2,3
"SLC3A2","SLC3A2","Bivariate model, Reitsma 2005",0.662,0.391,0.856,0.793,0.669,0.879,9.55,7.51,1.93,29.3,3.31,3.15,1.52,6.04,0.446,0.429,0.178,0.804,0.81,"Univariate model, Glas 2003",7.749,2.048,29.319,2.048,0.717,3.378,0.985,0,37.705,0.992,0,6.14,19.098,3.708,0.295,3,4
"LAMP1","LAMP1","Bivariate model, Reitsma 2005",0.693,0.542,0.811,0.764,0.636,0.857,8.07,7.28,2.99,17.7,3.03,2.91,1.79,4.94,0.413,0.405,0.245,0.625,0.763,"Univariate model, Glas 2003",6.64,2.46,17.922,1.893,0.9,2.886,0.137,0,83.478,0.37,0,9.137,2.97,2.061,0.357,2,3
"IGF2R","IGF2R","Bivariate model, Reitsma 2005",0.64,0.403,0.825,0.698,0.243,0.943,5.2,4.12,1.08,15.8,2.72,2.09,1.02,8.13,0.571,0.549,0.358,0.949,0.695,"Univariate model, Glas 2003",3.055,1.156,8.075,1.117,0.145,2.089,0.143,0,49.494,0.379,0,7.035,0,1.911,0.385,2,3
"PRKCSH","PRKCSH","Bivariate model, Reitsma 2005",0.715,0.203,0.961,0.74,0.099,0.987,10.9,7.12,1.17,43.4,4.76,2.6,1.02,21.8,0.481,0.452,0.146,0.926,0.783,"Univariate model, Glas 2003",6.663,1.36,32.643,1.897,0.308,3.486,0,0,450.631,0,0,21.228,0,0.231,0.631,1,2
"ATF6","ATF6","Bivariate model, Reitsma 2005",0.569,0.405,0.719,0.797,0.577,0.919,6.34,5.19,1.49,18,3.14,2.78,1.25,7.17,0.56,0.548,0.345,0.848,0.598,"Univariate model, Glas 2003",5.351,1.5,19.084,1.677,0.406,2.949,0,0,51.895,0,0,7.204,0,1.573,0.455,2,3
"LMNB1","LMNB1","Bivariate model, Reitsma 2005",0.942,0.796,0.986,0.864,0.584,0.966,181,103,13,824,8.86,6.81,2.22,27.6,0.086,0.069,0.017,0.254,0.959,"Univariate model, Glas 2003",102.781,12.858,821.55,4.633,2.554,6.711,0,0,3085.024,0,0,55.543,0,0.874,0.35,1,2
"IL6ST","IL6ST","Bivariate model, Reitsma 2005",0.802,0.631,0.906,0.616,0.347,0.828,9.69,6.5,1.12,37.5,2.32,2.07,1.04,5.06,0.376,0.324,0.124,0.928,0.794,"Univariate model, Glas 2003",6.41,1.142,35.979,1.858,0.133,3.583,1.485,0,112.191,1.219,0,10.592,6.878,2.148,0.342,2,3
"THBS3","THBS3","Bivariate model, Reitsma 2005",0.885,0.284,0.993,0.775,0.448,0.936,168,26.5,0.609,1140,4.7,3.69,0.745,14.6,0.278,0.154,0.008,1.19,0.841,"Univariate model, Glas 2003",27.641,0.676,1130.514,3.319,-0.392,7.03,5.137,0,7446.468,2.267,0,86.293,0,1,0.317,1,2
"GDI2","GDI2","Bivariate model, Reitsma 2005",0.899,0.745,0.964,0.75,0.586,0.864,33.5,26.5,6.96,101,3.74,3.54,2.09,6.57,0.154,0.137,0.048,0.353,0.89,"Univariate model, Glas 2003",70.55,10.248,485.683,4.256,2.327,6.186,0,0,107.551,0,0,10.371,0,1.74,0.419,2,3
"CACNA2D1","CACNA2D1","Bivariate model, Reitsma 2005",0.851,0.565,0.962,0.835,0.403,0.974,123,28.8,1.03,812,8.48,5.09,1.01,36.7,0.263,0.181,0.04,0.984,0.906,"Univariate model, Glas 2003",29.31,0.76,1130.491,3.378,-0.275,7.03,8.207,0,274.592,2.865,0,16.571,0,1.468,0.48,2,3
"NPEPPS","NPEPPS","Bivariate model, Reitsma 2005",0.832,0.672,0.923,0.941,0.679,0.992,149,78.9,8.72,715,23.2,13.9,2.54,100,0.196,0.184,0.084,0.376,0.895,"Univariate model, Glas 2003",81.587,8.983,740.967,4.402,2.195,6.608,0,0,182.88,0,0,13.523,0,0.072,0.789,1,2
"ANTXR2","ANTXR2","Bivariate model, Reitsma 2005",0.869,0.664,0.957,0.792,0.231,0.98,46.1,25.3,2.92,217,7.83,4.1,1.19,37.4,0.209,0.186,0.071,0.473,0.895,"Univariate model, Glas 2003",37.592,6.208,227.622,3.627,1.826,5.428,0,0,51.979,0,0,7.21,0,1.084,0.582,2,3
"UBE2N","UBE2N","Bivariate model, Reitsma 2005",0.87,0.209,0.994,0.847,0.358,0.982,78.9,37.1,3.32,412,7.38,4.97,1.44,27.8,0.245,0.163,0.011,0.844,0.917,"Univariate model, Glas 2003",48.829,5.209,457.749,3.888,1.65,6.126,0,0,751.305,0,0,27.41,0,0.284,0.594,1,2
"ADARB1","ADARB1","Bivariate model, Reitsma 2005",0.724,0.545,0.852,0.585,0.45,0.709,4.09,3.7,1.55,8.84,1.76,1.73,1.22,2.5,0.488,0.474,0.256,0.797,0.64,"Univariate model, Glas 2003",4.394,1.863,10.363,1.48,0.622,2.338,0,0,192.024,0,0,13.857,0,0.312,0.576,1,2
"CTBS","CTBS","Bivariate model, Reitsma 2005",0.756,0.514,0.901,0.586,0.122,0.935,6.17,4.39,0.87,22.1,2.57,1.81,0.981,8.8,0.506,0.454,0.256,1.12,0.753,"Univariate model, Glas 2003",5.679,0.746,43.24,1.737,-0.293,3.767,2.14,0,169.323,1.463,0,13.012,12.267,2.28,0.32,2,3
"LRP1","LRP1","Bivariate model, Reitsma 2005",0.558,0.271,0.811,0.716,0.328,0.928,3.55,3.18,1.27,7.98,2.18,1.92,1.09,4.74,0.644,0.643,0.403,0.893,0.666,"Univariate model, Glas 2003",2.892,1.283,6.52,1.062,0.249,1.875,0,0,12.098,0,0,3.478,0,0.359,0.836,2,3
"FSTL1","FSTL1","Bivariate model, Reitsma 2005",0.611,0.422,0.772,0.733,0.466,0.896,5.53,4.32,1.09,17.2,2.59,2.26,1.04,6.03,0.562,0.54,0.3,0.96,0.744,"Univariate model, Glas 2003",5.055,1.207,21.175,1.62,0.188,3.053,0,0,800.962,0,0,28.301,0,0.689,0.407,1,2
"CNTN1","CNTN1","Bivariate model, Reitsma 2005",0.762,0.631,0.857,0.69,0.545,0.805,8.08,7.12,2.64,19.1,2.54,2.44,1.54,4.08,0.36,0.347,0.195,0.597,0.783,"Univariate model, Glas 2003",10.02,2.438,41.184,2.305,0.891,3.718,0.749,0,64.504,0.865,0,8.031,0,1.757,0.415,2,3
"PTPRJ","PTPRJ","Bivariate model, Reitsma 2005",0.928,0.832,0.971,0.8,0.295,0.975,140,51.6,3.25,823,8.2,4.61,1.26,37.1,0.125,0.094,0.032,0.405,0.932,"Univariate model, Glas 2003",61.052,2.909,1281.102,4.112,1.068,7.155,5.116,0,219.557,2.262,0,14.817,0,1.615,0.446,2,3
"PTPRS","PTPRS","Bivariate model, Reitsma 2005",0.879,0.565,0.976,0.768,0.395,0.944,78.5,24.1,1.18,491,5.03,3.72,1.07,16.9,0.239,0.161,0.027,0.912,0.896,"Univariate model, Glas 2003",24.041,1.135,509.312,3.18,0.126,6.233,5.237,0,282.88,2.288,0,16.819,0,1.943,0.378,2,3
"MSLN","MSLN","Bivariate model, Reitsma 2005",0.773,0.426,0.94,0.798,0.218,0.982,100,13.5,0.268,688,9.21,3.77,0.611,51.9,0.507,0.293,0.063,2.26,0.84,"Univariate model, Glas 2003",13.292,0.265,666.844,2.587,-1.328,6.503,6.331,0,8410.027,2.516,0,91.706,0,1,0.317,1,2
"MADCAM1","MADCAM1","Bivariate model, Reitsma 2005",0.77,0.212,0.976,0.893,0.579,0.981,180,28,0.635,1230,11,6.76,0.734,46.7,0.356,0.264,0.025,1.13,0.916,"Univariate model, Glas 2003",24.613,0.7,865.282,3.203,-0.357,6.763,4.731,0,6941.758,2.175,0,83.317,0,1,0.317,1,2
"ART3","ART3","Bivariate model, Reitsma 2005",0.782,0.633,0.881,0.612,0.453,0.751,6.39,5.65,2.13,14.9,2.07,2,1.35,3.18,0.375,0.36,0.188,0.65,0.769,"Univariate model, Glas 2003",9.888,1.407,69.5,2.291,0.341,4.241,1.779,0,357.843,1.334,0,18.917,41.807,3.437,0.179,2,3
"ALCAM","ALCAM","Bivariate model, Reitsma 2005",0.806,0.661,0.899,0.664,0.391,0.858,9.64,8.2,2.69,25,2.63,2.37,1.35,5.39,0.314,0.301,0.162,0.542,0.818,"Univariate model, Glas 2003",8.552,3.152,23.201,2.146,1.148,3.144,0,0,31.818,0,0,5.641,0,1.721,0.423,2,3
"DSG2","DSG2","Bivariate model, Reitsma 2005",0.81,0.464,0.955,0.724,0.595,0.824,16.6,11.2,1.97,63.8,2.94,2.86,1.48,4.83,0.305,0.264,0.062,0.767,0.731,"Univariate model, Glas 2003",10.27,1.76,59.927,2.329,0.565,4.093,1.559,0,82.951,1.249,0,9.108,0,1.74,0.419,2,3
"GPNMB","GPNMB","Bivariate model, Reitsma 2005",0.956,0.743,0.994,0.774,0.476,0.928,158,74.1,6.68,827,4.95,4.12,1.75,13,0.09,0.059,0.008,0.358,0.957,"Univariate model, Glas 2003",118.959,9.727,1454.86,4.779,2.275,7.283,0,0,282.482,0,0,16.807,0,0.077,0.782,1,2
"LAMA3","LAMA3","Bivariate model, Reitsma 2005",0.734,0.562,0.856,0.854,0.565,0.963,23.3,16.1,2.98,86.9,6.43,4.95,1.62,20.1,0.336,0.321,0.168,0.588,0.846,"Univariate model, Glas 2003",16.797,3.092,91.257,2.821,1.129,4.514,0,0,20.024,0,0,4.475,0,0.01,0.92,1,2
"AOC3","AOC3","Bivariate model, Reitsma 2005",0.753,0.623,0.849,0.8,0.685,0.881,13.5,12.2,5.15,29,3.9,3.74,2.3,6.38,0.317,0.31,0.187,0.485,0.84,"Univariate model, Glas 2003",12.986,5.386,31.312,2.564,1.684,3.444,0,0,37.622,0,0,6.134,0,1.394,0.498,2,3
"TKFC","TKFC","Bivariate model, Reitsma 2005",0.709,0.417,0.893,0.605,0.301,0.845,4.78,3.74,0.944,14.8,1.95,1.75,0.977,4.07,0.527,0.497,0.201,1.03,0.695,"Univariate model, Glas 2003",4.271,1.072,17.019,1.452,0.069,2.834,0,0,41.498,0,0,6.442,0,0.041,0.839,1,2
